S. No.,Degree,Major,GPA,Year of Graduation,Age,Gender,Internships,Previous Job Title,Industry,Skill1,Skill2,SoftSkill,Certification,JobRole,Work Preference
191,BBA,Computer,9.62,2008.0,38.0,Male,4.0,Junior Developer,Education,Excel,Excel,Leadership,Six Sigma,Software Engineer,Hybrid
192,M.Sc,Mathematics,8.76,2021.0,30.0,Male,3.0,Assistant,Education,Leadership,Excel,Communication,Google Cloud,Project Manager,Remote
193,BA,Computer,6.64,2012.0,42.0,Male,1.0,Intern,Research,Java,Communication,Leadership,Google Cloud,Data Analyst,Remote
194,PhD,Chemistry,9.24,2005.0,43.0,Female,2.0,Engineer,Research,SQL,Marketing,Adaptability,Data Science,Accountant,Hybrid
195,B.Com,Mathematics,6.23,2005.0,38.0,Female,1.0,Engineer,Research,SQL,Java,Adaptability,Google Cloud,Project Manager,Remote
196,B.Com,Electronics,9.23,2009.0,41.0,Male,5.0,Consultant,Manufacturing,Marketing,Data Analy,Leadership,None,Business Analyst,In-office
197,BBA,Management,7.12,2018.0,33.0,Female,1.0,Engineer,Research,Java,Machine Learning,Communication,AWS Certified,Business Analyst,Remote
198,B.Sc,Marketing,9.19,2008.0,21.0,Female,0.0,Analyst,Finance,Java,Communication,Leadership,Scrum,Software Engineer,Hybrid
199,PhD,Marketing,5.97,2014.0,21.0,Other,4.0,Intern,Manufacturing,Java,Leadership,Problem-Solving,Scrum,HR Manager,Hybrid
200,M.Tech,Chemistry,8.52,2019.0,43.0,Male,4.0,Intern,Healthcare,Data Analy,Python,Problem-Solving,PMP,Mechanical Engineer,Hybrid
201,M.Sc,Humanities,5.21,2012.0,32.0,Male,5.0,Junior Developer,Healthcare,Communication,Machine Learning,Problem-Solving,AWS Certified,Business Analyst,Hybrid
202,PhD,Marketing,6.34,2012.0,35.0,Other,3.0,Consultant,Research,Java,Leadership,Communication,Google Cloud,Mechanical Engineer,In-office
203,MBA,Humanities,9.67,2012.0,43.0,Other,4.0,Engineer,Manufacturing,Communication,Leadership,Communication,None,Teacher,In-office
204,BA,Mathematics,7.65,2024.0,21.0,Other,0.0,Intern,IT,Python,Marketing,Communication,Six Sigma,Researcher,Remote
205,B.Tech,Management,8.54,2024.0,41.0,Male,4.0,Engineer,Finance,Communication,SQL,Communication,Six Sigma,Accountant,In-office
206,M.Sc,Marketing,8.74,2024.0,25.0,Male,1.0,Junior Developer,IT,Java,Excel,Leadership,Data Science,HR Manager,In-office
207,B.Sc,Mathematics,7.99,2020.0,34.0,Male,5.0,Junior Developer,Consulting,Excel,Data Analy,Communication,Azure,Mechanical Engineer,In-office
208,PhD,Chemistry,6.89,2014.0,30.0,Male,3.0,Engineer,Finance,SQL,Python,Problem-Solving,CCNA,Business Analyst,In-office
209,MBA,Management,8.5,2007.0,25.0,Female,0.0,Consultant,IT,Communication,Communication,Teamwork,None,Business Analyst,Remote
210,M.Sc,Mathematics,9.58,2010.0,35.0,Other,1.0,Intern,Manufacturing,Data Analy,Excel,Adaptability,CCNA,Accountant,In-office
211,BA,Management,9.48,2022.0,35.0,Female,4.0,Analyst,Education,Communication,Leadership,Teamwork,Google Cloud,HR Manager,Remote
212,B.Sc,Humanities,7.62,2016.0,43.0,Other,4.0,Junior Developer,Manufacturing,Machine Learning,Communication,Adaptability,PMP,Researcher,In-office
213,B.Com,Management,9.36,2010.0,22.0,Male,4.0,Engineer,Consulting,Leadership,SQL,Problem-Solving,Azure,Researcher,Hybrid
214,PhD,Chemistry,7.41,2006.0,24.0,Female,5.0,Consultant,Research,Marketing,Java,Adaptability,CCNA,Project Manager,Hybrid
215,PhD,Physics,8.6,2013.0,29.0,Other,1.0,Consultant,Finance,Python,Python,Leadership,None,Teacher,In-office
216,B.Tech,Electronics,9.49,2019.0,37.0,Female,0.0,Junior Developer,Education,Machine Learning,Python,Teamwork,Machine Learning,Mechanical Engineer,Remote
217,M.Tech,Physics,7.58,2013.0,41.0,Other,3.0,Assistant,Research,Excel,Leadership,Problem-Solving,Google Cloud,Software Engineer,In-office
218,B.Sc,Management,8.79,2017.0,28.0,Other,2.0,Assistant,Finance,Marketing,Leadership,Leadership,Machine Learning,Teacher,In-office
219,B.Tech,Humanities,6.48,2015.0,22.0,Other,1.0,Junior Developer,Finance,Java,Python,Communication,Azure,Teacher,In-office
220,BBA,Marketing,6.1,2020.0,31.0,Other,2.0,Assistant,Consulting,Leadership,Data Analy,Teamwork,CCNA,Software Engineer,Hybrid
221,MBA,Physics,6.12,2015.0,23.0,Male,3.0,Analyst,Consulting,Python,SQL,Adaptability,AWS Certified,Researcher,Hybrid
222,MBA,Humanities,7.01,2020.0,39.0,Female,4.0,Engineer,IT,Java,Excel,Problem-Solving,Google Cloud,Business Analyst,Hybrid
223,B.Sc,Humanities,9.06,2019.0,31.0,Female,4.0,Assistant,IT,Communication,Excel,Leadership,Azure,Teacher,Remote
224,B.Tech,Marketing,9.78,2016.0,33.0,Female,2.0,Intern,Consulting,Python,Java,Problem-Solving,Google Cloud,Mechanical Engineer,Remote
225,BA,Mathematics,9.25,2022.0,23.0,Other,3.0,Assistant,Consulting,Data Analy,Python,Problem-Solving,AWS Certified,Software Engineer,In-office
226,B.Tech,Electronics,5.19,2022.0,40.0,Other,5.0,Junior Developer,Research,Data Analy,Machine Learning,Leadership,PMP,HR Manager,In-office
227,BBA,Electronics,8.6,2023.0,41.0,Other,0.0,Junior Developer,Research,Python,Communication,Communication,CCNA,Data Analyst,In-office
228,BBA,Physics,7.23,2020.0,39.0,Female,4.0,Consultant,IT,Communication,Java,Teamwork,Data Science,Teacher,In-office
229,BBA,Chemistry,8.51,2011.0,40.0,Other,4.0,Junior Developer,Manufacturing,Leadership,Python,Problem-Solving,PMP,Teacher,Remote
230,M.Tech,Physics,5.34,2023.0,29.0,Male,1.0,Consultant,IT,Java,Marketing,Adaptability,Scrum,HR Manager,Remote
231,BA,Marketing,6.92,2017.0,28.0,Other,0.0,Analyst,Healthcare,Excel,Data Analy,Communication,Azure,Business Analyst,In-office
232,BA,Mathematics,9.67,2006.0,29.0,Female,1.0,Junior Developer,Education,SQL,Leadership,Problem-Solving,Six Sigma,Accountant,Remote
233,M.Sc,Marketing,7.6,2021.0,38.0,Other,5.0,Intern,Healthcare,Communication,Communication,Leadership,Azure,Software Engineer,Hybrid
234,BBA,Physics,8.55,2008.0,40.0,Male,1.0,Engineer,Research,Leadership,Python,Leadership,None,Project Manager,Remote
235,PhD,Marketing,5.06,2017.0,24.0,Male,3.0,Junior Developer,Manufacturing,Leadership,Leadership,Leadership,PMP,Accountant,Hybrid
236,B.Sc,Marketing,9.71,2011.0,27.0,Other,1.0,Assistant,Finance,Communication,Python,Problem-Solving,Scrum,Software Engineer,In-office
237,BA,Computer,5.02,2021.0,33.0,Female,5.0,Engineer,Finance,Python,Marketing,Problem-Solving,Google Cloud,Researcher,Hybrid
238,B.Sc,Computer,7.41,2020.0,30.0,Female,0.0,Intern,Healthcare,Marketing,Communication,Leadership,CCNA,Researcher,Remote
239,B.Sc,Management,6.44,2016.0,24.0,Other,3.0,Analyst,Healthcare,Leadership,Java,Problem-Solving,None,Business Analyst,Hybrid
240,M.Sc,Chemistry,9.32,2016.0,35.0,Female,1.0,Engineer,IT,Java,Excel,Leadership,Machine Learning,Researcher,Hybrid
241,B.Sc,Chemistry,6.42,2024.0,36.0,Female,1.0,Engineer,IT,SQL,Machine Learning,Problem-Solving,CCNA,Data Analyst,Hybrid
242,B.Com,Humanities,7.68,2020.0,45.0,Other,0.0,Consultant,Education,Communication,Python,Leadership,PMP,Project Manager,Remote
243,B.Com,Management,9.0,2022.0,29.0,Other,1.0,Engineer,Healthcare,SQL,SQL,Teamwork,None,Data Analyst,In-office
244,PhD,Physics,9.3,2017.0,23.0,Female,5.0,Analyst,Education,Excel,Leadership,Leadership,Data Science,Project Manager,In-office
245,B.Com,Mathematics,9.5,2020.0,40.0,Other,0.0,Engineer,IT,Excel,Java,Leadership,Google Cloud,Project Manager,Hybrid
246,B.Tech,Electronics,8.18,2019.0,36.0,Female,0.0,Analyst,Education,Communication,Leadership,Communication,Scrum,Mechanical Engineer,In-office
247,BA,Physics,6.05,2019.0,24.0,Male,3.0,Engineer,Manufacturing,Java,Machine Learning,Problem-Solving,Scrum,Business Analyst,Hybrid
248,M.Sc,Humanities,5.82,2008.0,34.0,Female,3.0,Analyst,IT,Communication,Machine Learning,Adaptability,PMP,Data Analyst,Remote
249,B.Tech,Chemistry,7.1,2005.0,39.0,Other,5.0,Junior Developer,Healthcare,Java,Communication,Teamwork,Google Cloud,Accountant,In-office
250,B.Tech,Computer,7.53,2015.0,44.0,Female,5.0,Consultant,Manufacturing,Communication,Data Analy,Communication,PMP,Business Analyst,Hybrid
251,B.Com,Computer,9.02,2022.0,29.0,Female,5.0,Junior Developer,Finance,Marketing,SQL,Leadership,Azure,Mechanical Engineer,Remote
252,B.Sc,Humanities,8.0,2024.0,25.0,Male,4.0,Analyst,Manufacturing,Data Analy,SQL,Teamwork,Scrum,Business Analyst,In-office
253,BA,Management,6.02,2014.0,41.0,Other,2.0,Assistant,Research,Data Analy,Data Analy,Problem-Solving,Google Cloud,Teacher,Remote
254,BA,Computer,9.85,2007.0,27.0,Male,5.0,Junior Developer,Consulting,Excel,Python,Communication,None,Data Analyst,In-office
255,B.Com,Chemistry,6.75,2016.0,26.0,Male,0.0,Intern,Manufacturing,Excel,Java,Problem-Solving,Six Sigma,Accountant,Remote
256,BA,Electronics,9.77,2017.0,22.0,Female,5.0,Engineer,Consulting,Machine Learning,SQL,Adaptability,AWS Certified,Accountant,Hybrid
257,BA,Humanities,8.21,2021.0,34.0,Male,1.0,Assistant,Education,Data Analy,Machine Learning,Adaptability,Azure,Researcher,In-office
258,B.Tech,Marketing,5.43,2007.0,22.0,Male,1.0,Junior Developer,Consulting,SQL,Leadership,Adaptability,Scrum,Software Engineer,Remote
259,M.Sc,Electronics,5.05,2009.0,29.0,Male,1.0,Consultant,Healthcare,Machine Learning,Java,Teamwork,Scrum,Software Engineer,Hybrid
260,B.Sc,Mathematics,5.49,2005.0,24.0,Male,1.0,Junior Developer,Healthcare,Communication,Excel,Problem-Solving,Data Science,Data Analyst,In-office
261,BBA,Humanities,5.72,2022.0,37.0,Other,1.0,Consultant,Finance,Leadership,SQL,Leadership,Data Science,Data Analyst,In-office
262,M.Tech,Chemistry,7.53,2017.0,21.0,Female,5.0,Analyst,Consulting,Java,Data Analy,Leadership,AWS Certified,Data Analyst,Remote
263,MBA,Electronics,9.73,2012.0,45.0,Male,1.0,Intern,IT,Leadership,Leadership,Problem-Solving,CCNA,HR Manager,Remote
264,B.Com,Computer,9.44,2024.0,44.0,Other,4.0,Assistant,Research,Excel,Data Analy,Adaptability,PMP,Mechanical Engineer,Hybrid
265,MBA,Mathematics,5.44,2020.0,41.0,Other,4.0,Assistant,Education,Data Analy,Java,Communication,Azure,Software Engineer,Remote
266,BBA,Marketing,8.58,2005.0,40.0,Male,4.0,Junior Developer,Consulting,Communication,Data Analy,Teamwork,None,Accountant,In-office
267,BBA,Computer,7.25,2012.0,27.0,Male,2.0,Analyst,Finance,Marketing,Java,Teamwork,Azure,Accountant,In-office
268,M.Sc,Physics,6.84,2013.0,27.0,Male,0.0,Consultant,Education,Leadership,Data Analy,Adaptability,AWS Certified,HR Manager,Hybrid
269,BBA,Mathematics,5.51,2005.0,33.0,Other,0.0,Assistant,Manufacturing,Marketing,Leadership,Communication,PMP,Accountant,In-office
270,M.Tech,Management,5.09,2019.0,26.0,Other,1.0,Junior Developer,Finance,Marketing,Marketing,Leadership,PMP,Project Manager,In-office
271,PhD,Marketing,7.07,2013.0,30.0,Male,1.0,Analyst,Research,Excel,Java,Communication,PMP,Mechanical Engineer,Hybrid
272,B.Sc,Computer,6.05,2017.0,21.0,Female,2.0,Junior Developer,Healthcare,Data Analy,Java,Teamwork,CCNA,Accountant,Hybrid
273,BA,Computer,7.55,2007.0,24.0,Other,3.0,Intern,Finance,SQL,Java,Teamwork,Machine Learning,Project Manager,Remote
274,BBA,Management,9.16,2024.0,35.0,Other,5.0,Assistant,IT,Excel,Machine Learning,Teamwork,Machine Learning,Mechanical Engineer,Hybrid
275,B.Com,Computer,8.11,2010.0,23.0,Female,3.0,Assistant,Consulting,Marketing,Python,Problem-Solving,PMP,Mechanical Engineer,Hybrid
276,MBA,Physics,9.29,2009.0,30.0,Male,0.0,Junior Developer,Research,Excel,Machine Learning,Teamwork,Google Cloud,HR Manager,Hybrid
277,B.Tech,Electronics,5.38,2021.0,26.0,Female,5.0,Junior Developer,Manufacturing,Communication,SQL,Communication,Azure,Data Analyst,In-office
278,MBA,Physics,6.29,2019.0,31.0,Female,3.0,Engineer,Manufacturing,Java,Excel,Adaptability,Google Cloud,Software Engineer,Remote
279,B.Tech,Mathematics,6.57,2015.0,30.0,Male,0.0,Consultant,Healthcare,Java,Java,Teamwork,Data Science,Business Analyst,Remote
280,MBA,Management,8.68,2007.0,31.0,Other,5.0,Intern,Education,SQL,Communication,Leadership,CCNA,Software Engineer,In-office
281,M.Tech,Management,7.29,2014.0,36.0,Female,5.0,Analyst,Consulting,Python,Java,Problem-Solving,Six Sigma,Software Engineer,Hybrid
282,MBA,Humanities,6.01,2019.0,24.0,Other,4.0,Analyst,IT,Machine Learning,Marketing,Teamwork,AWS Certified,Mechanical Engineer,In-office
283,M.Sc,Chemistry,7.86,2007.0,22.0,Male,0.0,Consultant,Education,Excel,SQL,Teamwork,CCNA,Teacher,Remote
284,M.Tech,Physics,9.68,2012.0,24.0,Female,4.0,Engineer,Education,Java,Communication,Teamwork,Scrum,Business Analyst,Remote
285,M.Tech,Computer,5.03,2007.0,25.0,Male,4.0,Junior Developer,Finance,SQL,Marketing,Adaptability,Google Cloud,Accountant,Hybrid
286,BA,Humanities,5.03,2007.0,24.0,Female,5.0,Consultant,IT,Machine Learning,Leadership,Teamwork,Machine Learning,Business Analyst,In-office
287,B.Com,Electronics,5.68,2017.0,35.0,Male,2.0,Engineer,Education,SQL,SQL,Adaptability,AWS Certified,Accountant,Hybrid
288,B.Com,Marketing,6.44,2015.0,38.0,Female,0.0,Analyst,Healthcare,Excel,Python,Adaptability,AWS Certified,Mechanical Engineer,Remote
289,BBA,Chemistry,9.67,2010.0,44.0,Other,1.0,Consultant,Research,SQL,Python,Communication,Scrum,HR Manager,Remote
290,MBA,Mathematics,7.23,2021.0,35.0,Male,3.0,Intern,Finance,SQL,Communication,Problem-Solving,Data Science,Data Analyst,Remote
291,B.Tech,Marketing,6.37,2013.0,30.0,Male,5.0,Junior Developer,IT,Java,Excel,Leadership,Scrum,Project Manager,Hybrid
292,B.Sc,Electronics,5.88,2010.0,32.0,Other,3.0,Assistant,Education,Excel,SQL,Leadership,Data Science,Teacher,Hybrid
293,BBA,Electronics,7.31,2019.0,22.0,Other,3.0,Analyst,Education,Python,Machine Learning,Problem-Solving,Six Sigma,Mechanical Engineer,Remote
294,BA,Management,9.98,2020.0,33.0,Male,3.0,Assistant,Healthcare,Excel,Communication,Teamwork,CCNA,Researcher,Remote
295,B.Tech,Computer,6.9,2009.0,38.0,Male,0.0,Consultant,Healthcare,Marketing,Java,Adaptability,Machine Learning,Researcher,Hybrid
296,B.Tech,Marketing,6.61,2016.0,21.0,Female,3.0,Intern,Education,Marketing,Excel,Leadership,Machine Learning,Researcher,Hybrid
297,MBA,Mathematics,5.83,2015.0,22.0,Other,4.0,Intern,Consulting,SQL,Python,Communication,CCNA,Software Engineer,Remote
298,B.Com,Chemistry,6.03,2020.0,37.0,Female,3.0,Consultant,Manufacturing,Java,SQL,Teamwork,Six Sigma,Business Analyst,Remote
299,M.Sc,Mathematics,9.74,2011.0,45.0,Other,0.0,Analyst,Healthcare,Machine Learning,Marketing,Problem-Solving,CCNA,HR Manager,Hybrid
300,MBA,Humanities,5.44,2010.0,34.0,Other,5.0,Junior Developer,Manufacturing,Python,Marketing,Communication,Machine Learning,Teacher,In-office
301,MBA,Computer,6.29,2018.0,29.0,Male,0.0,Assistant,Education,Marketing,Communication,Communication,AWS Certified,Data Analyst,Remote
302,MBA,Chemistry,8.09,2007.0,24.0,Female,2.0,Assistant,Consulting,Java,Java,Problem-Solving,Data Science,Accountant,In-office
303,MBA,Chemistry,8.26,2019.0,45.0,Male,3.0,Intern,Manufacturing,Data Analy,Leadership,Adaptability,CCNA,HR Manager,Remote
304,M.Tech,Electronics,8.53,2016.0,33.0,Other,0.0,Analyst,IT,Java,Excel,Problem-Solving,None,Software Engineer,Hybrid
305,M.Sc,Mathematics,6.46,2009.0,45.0,Male,0.0,Intern,Education,Java,Excel,Leadership,Six Sigma,Teacher,Remote
306,BA,Marketing,9.09,2022.0,37.0,Male,1.0,Consultant,Research,Leadership,Communication,Teamwork,CCNA,Data Analyst,Hybrid
307,BA,Chemistry,5.64,2014.0,26.0,Other,3.0,Junior Developer,Research,Java,Communication,Leadership,Azure,Software Engineer,Remote
308,M.Tech,Marketing,8.24,2020.0,35.0,Male,2.0,Junior Developer,Research,Communication,Leadership,Problem-Solving,Google Cloud,Software Engineer,In-office
309,BBA,Computer,8.92,2009.0,31.0,Male,2.0,Consultant,Finance,SQL,Communication,Communication,Six Sigma,Teacher,Remote
310,M.Sc,Mathematics,9.57,2022.0,22.0,Male,0.0,Engineer,Manufacturing,Machine Learning,Communication,Problem-Solving,PMP,Accountant,In-office
311,B.Sc,Physics,6.98,2021.0,36.0,Other,2.0,Engineer,Research,SQL,Marketing,Teamwork,Data Science,Teacher,Remote
312,BBA,Mathematics,9.46,2017.0,27.0,Female,4.0,Junior Developer,Education,SQL,Marketing,Adaptability,Machine Learning,Teacher,Remote
313,BA,Humanities,9.6,2016.0,45.0,Female,2.0,Consultant,Education,Marketing,Marketing,Communication,None,Accountant,In-office
314,BA,Management,8.48,2016.0,37.0,Other,2.0,Intern,IT,Leadership,Marketing,Problem-Solving,Azure,Project Manager,Remote
315,M.Sc,Humanities,6.09,2013.0,34.0,Male,0.0,Assistant,Finance,SQL,Leadership,Leadership,Scrum,Software Engineer,Hybrid
316,PhD,Marketing,9.17,2005.0,38.0,Other,2.0,Assistant,Healthcare,Machine Learning,SQL,Adaptability,Data Science,Project Manager,Hybrid
317,BBA,Electronics,9.95,2018.0,34.0,Female,2.0,Analyst,Manufacturing,Communication,SQL,Teamwork,Data Science,HR Manager,Hybrid
318,MBA,Electronics,8.16,2012.0,42.0,Other,4.0,Junior Developer,Healthcare,Java,Python,Leadership,CCNA,Teacher,Hybrid
319,B.Com,Computer,5.67,2021.0,28.0,Other,2.0,Consultant,Healthcare,Data Analy,Python,Leadership,Azure,Teacher,Hybrid
320,MBA,Humanities,8.86,2017.0,30.0,Other,2.0,Intern,Consulting,Marketing,SQL,Leadership,Scrum,Data Analyst,In-office
321,B.Com,Computer,7.0,2012.0,35.0,Other,0.0,Analyst,Finance,Marketing,Leadership,Teamwork,Six Sigma,Accountant,In-office
322,MBA,Physics,9.5,2023.0,41.0,Female,1.0,Junior Developer,Healthcare,Excel,Python,Adaptability,Six Sigma,Business Analyst,In-office
323,B.Sc,Electronics,7.57,2009.0,32.0,Male,0.0,Junior Developer,IT,Communication,Leadership,Leadership,Azure,Accountant,In-office
324,BA,Computer,5.4,2022.0,43.0,Other,4.0,Junior Developer,Education,Marketing,Java,Adaptability,CCNA,Data Analyst,In-office
325,B.Sc,Mathematics,8.39,2014.0,37.0,Male,2.0,Consultant,Research,SQL,Python,Leadership,Google Cloud,Data Analyst,In-office
326,M.Tech,Computer,5.16,2024.0,40.0,Female,0.0,Analyst,Finance,Communication,Marketing,Communication,AWS Certified,Data Analyst,Hybrid
327,PhD,Mathematics,8.99,2018.0,38.0,Other,2.0,Consultant,Research,Java,Leadership,Leadership,None,Mechanical Engineer,In-office
328,M.Tech,Computer,8.4,2014.0,35.0,Other,1.0,Assistant,Healthcare,Java,Data Analy,Problem-Solving,AWS Certified,Teacher,Hybrid
329,PhD,Computer,9.35,2024.0,36.0,Female,4.0,Consultant,Healthcare,Leadership,Data Analy,Communication,Azure,Mechanical Engineer,Hybrid
330,BBA,Chemistry,5.03,2015.0,37.0,Female,3.0,Consultant,IT,Marketing,Communication,Teamwork,Data Science,Software Engineer,Remote
331,B.Com,Marketing,8.34,2005.0,23.0,Female,2.0,Analyst,Finance,Marketing,Machine Learning,Problem-Solving,PMP,Accountant,In-office
332,MBA,Management,9.9,2006.0,25.0,Male,5.0,Assistant,Education,Communication,SQL,Communication,Google Cloud,Software Engineer,In-office
333,BA,Marketing,8.21,2013.0,22.0,Other,2.0,Junior Developer,Consulting,SQL,Marketing,Adaptability,None,Project Manager,Remote
334,MBA,Mathematics,8.59,2021.0,25.0,Other,3.0,Consultant,Consulting,Java,Leadership,Leadership,None,Teacher,Remote
335,M.Sc,Mathematics,9.98,2018.0,37.0,Other,2.0,Assistant,Manufacturing,Excel,Communication,Teamwork,PMP,Teacher,Hybrid
336,BBA,Mathematics,6.72,2019.0,30.0,Other,3.0,Analyst,IT,Leadership,SQL,Adaptability,None,Teacher,Hybrid
337,MBA,Marketing,6.08,2015.0,21.0,Other,1.0,Engineer,Finance,Leadership,Communication,Communication,AWS Certified,Data Analyst,Remote
338,B.Tech,Humanities,5.39,2022.0,33.0,Female,4.0,Intern,Education,Data Analy,Machine Learning,Communication,CCNA,Researcher,Hybrid
339,MBA,Chemistry,9.53,2023.0,30.0,Female,4.0,Intern,Consulting,Marketing,Python,Teamwork,Azure,Accountant,Hybrid
340,M.Tech,Mathematics,8.76,2014.0,30.0,Other,3.0,Analyst,Healthcare,Machine Learning,Machine Learning,Communication,None,Accountant,Remote
341,B.Sc,Electronics,5.82,2018.0,45.0,Male,2.0,Analyst,IT,Machine Learning,Data Analy,Problem-Solving,CCNA,Business Analyst,Hybrid
342,BA,Management,9.89,2010.0,39.0,Male,3.0,Intern,Finance,Java,Data Analy,Problem-Solving,Google Cloud,Software Engineer,Remote
343,M.Tech,Chemistry,5.95,2014.0,41.0,Other,1.0,Analyst,IT,Excel,SQL,Teamwork,Machine Learning,Business Analyst,In-office
344,BA,Management,5.02,2009.0,41.0,Male,1.0,Engineer,Education,Python,Data Analy,Adaptability,None,Teacher,Hybrid
345,BBA,Management,7.51,2010.0,42.0,Female,5.0,Junior Developer,Research,Excel,Excel,Leadership,Data Science,Accountant,Hybrid
346,B.Sc,Management,7.93,2005.0,37.0,Other,0.0,Junior Developer,Healthcare,Machine Learning,Data Analy,Adaptability,PMP,Business Analyst,Remote
347,B.Sc,Humanities,7.4,2016.0,39.0,Male,0.0,Consultant,Education,SQL,Communication,Problem-Solving,Google Cloud,Data Analyst,Remote
348,BBA,Computer,6.3,2023.0,45.0,Other,2.0,Analyst,Research,Java,SQL,Problem-Solving,PMP,Mechanical Engineer,Hybrid
349,PhD,Computer,6.59,2007.0,41.0,Other,3.0,Consultant,Consulting,Communication,Marketing,Adaptability,Machine Learning,Researcher,Hybrid
350,M.Sc,Mathematics,7.2,2007.0,29.0,Male,5.0,Intern,Research,Leadership,SQL,Leadership,AWS Certified,Data Analyst,Remote
351,M.Sc,Electronics,6.22,2011.0,27.0,Male,0.0,Analyst,Finance,Communication,Machine Learning,Adaptability,None,Accountant,Hybrid
352,MBA,Humanities,5.64,2007.0,42.0,Other,2.0,Intern,Healthcare,Communication,Data Analy,Communication,Google Cloud,Accountant,Hybrid
353,M.Tech,Mathematics,6.53,2019.0,26.0,Female,0.0,Consultant,Manufacturing,Java,Marketing,Leadership,Google Cloud,Data Analyst,In-office
354,BBA,Humanities,7.23,2016.0,28.0,Male,5.0,Analyst,Manufacturing,Data Analy,Java,Teamwork,Scrum,Teacher,Hybrid
355,BA,Management,9.08,2008.0,34.0,Male,0.0,Engineer,IT,Python,Data Analy,Leadership,AWS Certified,Teacher,Remote
356,MBA,Computer,7.19,2006.0,30.0,Female,3.0,Junior Developer,IT,Marketing,Leadership,Adaptability,Google Cloud,HR Manager,Remote
357,PhD,Chemistry,7.53,2006.0,25.0,Other,3.0,Engineer,Finance,Machine Learning,Java,Problem-Solving,Six Sigma,Researcher,Hybrid
358,BA,Management,7.22,2009.0,35.0,Male,2.0,Intern,Finance,SQL,Excel,Communication,Machine Learning,Data Analyst,In-office
359,BBA,Physics,7.18,2024.0,27.0,Other,3.0,Intern,Finance,Java,Machine Learning,Teamwork,None,Mechanical Engineer,Remote
360,B.Com,Humanities,9.83,2021.0,39.0,Other,1.0,Analyst,Healthcare,Excel,Java,Problem-Solving,Machine Learning,Researcher,In-office
361,M.Tech,Chemistry,8.93,2008.0,32.0,Other,1.0,Consultant,Finance,SQL,Communication,Adaptability,CCNA,Accountant,Hybrid
362,BA,Management,6.21,2005.0,31.0,Other,3.0,Engineer,Education,Excel,Excel,Communication,AWS Certified,Teacher,Remote
363,M.Sc,Chemistry,8.5,2006.0,33.0,Other,3.0,Intern,Manufacturing,Data Analy,Java,Problem-Solving,CCNA,Software Engineer,Remote
364,BBA,Physics,7.48,2010.0,25.0,Other,1.0,Analyst,Education,Machine Learning,Data Analy,Communication,CCNA,Software Engineer,In-office
365,B.Sc,Management,5.49,2012.0,38.0,Other,3.0,Assistant,Healthcare,Machine Learning,Communication,Teamwork,Six Sigma,Data Analyst,Remote
366,B.Tech,Marketing,9.03,2005.0,24.0,Male,5.0,Analyst,Consulting,Data Analy,Machine Learning,Communication,Machine Learning,Project Manager,In-office
367,BBA,Physics,5.98,2010.0,35.0,Male,0.0,Intern,Healthcare,Excel,Python,Leadership,Data Science,Software Engineer,Remote
368,PhD,Mathematics,7.45,2017.0,25.0,Female,2.0,Junior Developer,IT,Data Analy,Data Analy,Communication,Scrum,Data Analyst,In-office
369,BBA,Mathematics,8.57,2013.0,26.0,Female,4.0,Junior Developer,Research,SQL,Java,Communication,Six Sigma,Teacher,Hybrid
370,PhD,Mathematics,5.16,2020.0,43.0,Female,0.0,Consultant,IT,Python,Excel,Adaptability,Data Science,Data Analyst,Hybrid
371,BA,Computer,6.95,2013.0,26.0,Female,2.0,Assistant,Research,Marketing,SQL,Problem-Solving,Azure,Accountant,In-office
372,B.Tech,Marketing,5.62,2015.0,29.0,Female,4.0,Junior Developer,Consulting,Marketing,Data Analy,Adaptability,Google Cloud,Accountant,Remote
373,M.Tech,Mathematics,7.46,2024.0,45.0,Male,3.0,Junior Developer,Healthcare,Machine Learning,Python,Adaptability,None,Project Manager,Remote
374,BA,Electronics,8.57,2010.0,34.0,Male,5.0,Junior Developer,Finance,Data Analy,Excel,Teamwork,PMP,Software Engineer,Remote
375,BA,Chemistry,6.53,2011.0,26.0,Female,4.0,Engineer,Finance,Java,Data Analy,Leadership,PMP,Researcher,Remote
376,BBA,Management,8.94,2013.0,39.0,Other,3.0,Junior Developer,Education,SQL,Marketing,Teamwork,AWS Certified,Project Manager,In-office
377,B.Sc,Chemistry,7.47,2015.0,43.0,Other,1.0,Analyst,Healthcare,SQL,Leadership,Teamwork,Data Science,HR Manager,Hybrid
378,B.Tech,Mathematics,9.19,2011.0,34.0,Other,4.0,Analyst,Research,Leadership,Leadership,Teamwork,Machine Learning,Software Engineer,In-office
379,BA,Physics,7.27,2010.0,22.0,Male,0.0,Engineer,Research,Marketing,Leadership,Teamwork,Scrum,Teacher,In-office
380,BBA,Management,6.42,2008.0,22.0,Other,4.0,Assistant,Research,Machine Learning,SQL,Adaptability,CCNA,Mechanical Engineer,Remote
381,M.Sc,Chemistry,9.01,2015.0,42.0,Male,4.0,Junior Developer,Research,Data Analy,SQL,Leadership,Google Cloud,Researcher,Remote
382,PhD,Chemistry,7.31,2007.0,23.0,Female,0.0,Engineer,Manufacturing,Leadership,Leadership,Communication,None,Project Manager,Remote
